"주차장코드","주차장명","주소","주차장 종류","주차장 종류명","운영구분","운영구분명","전화번호","주차현황 정보 제공여부","주차현황 정보 제공여부명","총 주자면","유무료구분","유무료구분명","야간무료개방여부","야간무료개방여부명","평일 운영 시작시각(HHMM)","평일 운영 종료시각(HHMM)","주말 운영 시작시각(HHMM)","주말 운영 종료시각(HHMM)","공휴일 운영 시작시각(HHMM)","공휴일 운영 종료시각(HHMM)","최종데이터 동기화 시간","토요일 유,무료 구분","토요일 유,무료 구분명","공휴일 유,무료 구분","공휴일 유,무료 구분명","월 정기권 금액","노상 주차장 관리그룹번호","기본 주차 요금","기본 주차 시간(분 단위)","추가 단위 요금","추가 단위 시간(분 단위)","버스 기본 주차 요금","버스 기본 주차 시간(분 단위)","버스 추가 단위 시간(분 단위)","버스 추가 단위 요금","일 최대 요금","위도","경도"
"1037569","바람개비주차장(구)","양천구 목동 919-8","NW","노외 주차장","1","시간제 주차장","02-2644-1386","0","미연계중","186","Y","유료","N","야간 미개방","0900","1900","0000","0000","0000","0000","2020-09-02 15:46:30","Y","유료","Y","유료","70000","","150","5","150","5","0","0","0","0","9000","",""
"1367218","한마음주차장(구)","양천구 목동 914-5","NW","노외 주차장","1","시간제 주차장","070-7119-2575","0","미연계중","553","Y","유료","N","야간 미개방","0000","2400","0000","2400","0000","2400","2022-08-01 15:46:05","N","무료","N","무료","70000","","150","5","150","5","0","0","0","0","","",""
"1371689","양천사회단체봉사센터(구)","양천구 목동 905-29","NW","노외 주차장","1","시간제 주차장","02-2644-1384","0","미연계중","20","Y","유료","N","야간 미개방","0900","1900","0000","0000","0000","0000","2020-09-02 11:52:09","Y","유료","Y","유료","70000","","150","5","150","5","0","0","0","0","9000","",""
"1371690","목동타운홀(구)","양천구 목동 905-21","NW","노외 주차장","1","시간제 주차장","02-2644-1384","0","미연계중","25","Y","유료","N","야간 미개방","0900","1900","0000","0000","0000","0000","2020-09-02 11:51:19","Y","유료","Y","유료","70000","","150","5","150","5","0","0","0","0","9000","37.53292894","126.87687749"
"144561","한국통신(구)","양천구 목동 924-1","NS","노상 주차장","1","시간제 주차장","","0","미연계중","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 11:03:02","N","무료","Y","유료","0","1147010200008","250","5","250","5","0","0","0","0","0","37.52824981","126.87185989"
"144561","한국통신(구)","양천구 목동 924-1","NS","노상 주차장","1","시간제 주차장","","0","미연계중","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 11:03:02","N","무료","Y","유료","0","1147010200008","250","5","250","5","0","0","0","0","0","37.52822077","126.87116753"
"144561","한국통신(구)","양천구 목동 924-1","NS","노상 주차장","1","시간제 주차장","","0","미연계중","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 11:03:02","N","무료","Y","유료","0","1147010200008","250","5","250","5","0","0","0","0","0","37.52826426","126.87176446"
"144561","한국통신(구)","양천구 목동 924-1","NS","노상 주차장","1","시간제 주차장","","0","미연계중","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 11:03:02","N","무료","Y","유료","0","1147010200008","250","5","250","5","0","0","0","0","0","37.5283488","126.87113483"
"144561","한국통신(구)","양천구 목동 924-1","NS","노상 주차장","1","시간제 주차장","","0","미연계중","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 11:03:02","N","무료","Y","유료","0","1147010200008","250","5","250","5","0","0","0","0","0","37.52825714","126.87181262"
"144561","한국통신(구)","양천구 목동 924-1","NS","노상 주차장","1","시간제 주차장","","0","미연계중","1","Y","유료","N","야간 미개방","0900","1900","0900","1500","0000","0000","2019-06-10 11:03:02","N","무료","Y","유료","0","1147010200008","250","5","250","5","0","0","0","0","0","37.52823801","126.87195174"
